"object_name","collision_name","offset","type"
"object_dblue_object","gGreatBayTempleObjectOneWaySwitchCol","0x714C","object"
"object_dblue_object","gGreatBayTempleObjectWaterwheelCol","0xAED0","object"
"object_dblue_object","gGreatBayTempleObjectSeesawShaftCol","0xBC08","object"
"object_dblue_object","gGreatBayTempleObjectLargeSeesawPlatformCol","0xC180","object"
"object_dblue_object","gGreatBayTempleObjectSmallSeesawPlatformCol","0xC700","object"
"object_dblue_object","gGreatBayTempleObjectUnusedCol","0xD3DC","object"
"object_dekucity_obj","object_dekucity_obj_Colheader_0002AC","0x2AC","object"
"object_dhouse","object_dhouse_Colheader_008040","0x8040","object"
"object_dkjail_obj","gDkjailCol","0x11A8","object"
"object_driftice","object_driftice_Colheader_001AA8","0x1AA8","object"
"object_eg","gEyegoreBlockCol","0x1820","object"
"object_f40_obj","gStoneTowerVerticallyOscillatingPlatformCol","0x3E80","object"
"object_f40_obj","gStoneTowerTempleSquareElevatorCol","0x4240","object"
"object_f40_obj","gStoneTowerBlockCol","0x4640","object"
"object_f40_switch","gStoneTowerFloorSwitchCol","0x118","object"
"object_f52_obj","object_f52_obj_Colheader_001BA8","0x1BA8","object"
"object_fu_kaiten","object_fu_kaiten_Colheader_002D30","0x2D30","object"
"object_fu_kaiten","object_fu_kaiten_Colheader_0037F8","0x37F8","object"
"object_fu_mato","object_fu_mato_Colheader_0015C0","0x15C0","object"
"object_fu_mato","object_fu_mato_Colheader_0023D4","0x23D4","object"
"object_fusen","object_fusen_Colheader_002420","0x2420","object"
"object_ghaka","object_ghaka_Colheader_0000E8","0xE8","object"
"object_ghaka","object_ghaka_Colheader_003CD0","0x3CD0","object"
"object_goronswitch","object_goronswitch_Colheader_0005C8","0x5C8","object"
"object_haka_obj","object_haka_obj_Colheader_000148","0x148","object"
"object_haka_obj","object_haka_obj_Colheader_000EE8","0xEE8","object"
"object_haka_obj","object_haka_obj_Colheader_001588","0x1588","object"
"object_hakaisi","object_hakaisi_Colheader_002FC4","0x2FC4","object"
"object_hakugin_obj","object_hakugin_obj_Colheader_009768","0x9768","object"
"object_hakugin_obj","object_hakugin_obj_Colheader_009AF0","0x9AF0","object"
"object_hakugin_obj","object_hakugin_obj_Colheader_00BF40","0xBF40","object"
"object_hakugin_obj","object_hakugin_obj_Colheader_00D3B0","0xD3B0","object"
"object_hanareyama_obj","object_hanareyama_obj_Colheader_004D8C","0x4D8C","object"
"object_hata","gFlagpoleCol","0xC0","object"
"object_hgdoor","object_hgdoor_Colheader_0018C0","0x18C0","object"
"object_hgdoor","object_hgdoor_Colheader_001D10","0x1D10","object"
"object_horse_game_check","object_horse_game_check_Colheader_002FB8","0x2FB8","object"
"object_horse_game_check","object_horse_game_check_Colheader_003918","0x3918","object"
"object_hsstump","object_hsstump_Colheader_0011B0","0x11B0","object"
"object_hunsui","object_hunsui_Colheader_000C74","0xC74","object"
"object_hunsui","object_hunsui_Colheader_00190C","0x190C","object"
"object_ice_block","gIceBlockCol","0x438","object"
"object_icefloe","gIcefloePlatformCol","0xC90","object"
"object_icicle","gIcicleCol","0x294","object"
"object_ikana_obj","object_ikana_obj_Colheader_000128","0x128","object"
"object_ikana_obj","object_ikana_obj_Colheader_000488","0x488","object"
"object_ikana_obj","gStoneTowerTemplePunchablePillarCol","0xC50","object"
"object_ikana_obj","object_ikana_obj_Colheader_000F28","0xF28","object"
"object_ikana_obj","gStoneTowerTempleMirrorCol","0x2358","object"
"object_ikana_obj","object_ikana_obj_Colheader_006368","0x6368","object"
"object_ikana_obj","object_ikana_obj_Colheader_0084F8","0x84F8","object"
"object_ikninside_obj","object_ikninside_obj_Colheader_00CBAC","0xCBAC","object"
"object_ikninside_obj","object_ikninside_obj_Colheader_00DE48","0xDE48","object"
"object_iknv_obj","object_iknv_obj_Colheader_0117C8","0x117C8","object"
"object_iknv_obj","object_iknv_obj_Colheader_0119D4","0x119D4","object"
"object_iknv_obj","object_iknv_obj_Colheader_012788","0x12788","object"
"object_iknv_obj","object_iknv_obj_Colheader_012CA4","0x12CA4","object"
"object_inibs_object","gTwinmoldArenaGiantModeArenaCol","0x4BA0","object"
"object_inibs_object","gTwinmoldArenaNormalModeArenaCol","0x8EF4","object"
"object_inibs_object","gTwinmoldArenaUnusedTwistedPillarCol","0x930C","object"
"object_inibs_object","gTwinmoldArenaUnusedTrapezoidalPillarCol","0x9600","object"
"object_inibs_object","gTwinmoldArenaUnusedClawShapedPillarCol","0x9EA8","object"
"object_inibs_object","gTwinmoldArenaUnusedWallCol","0xA200","object"
"object_inibs_object","gTwinmoldArenaUnusedWallCornerCol","0xA6A8","object"
"object_js","object_js_Colheader_0069E8","0x69E8","object"
"object_kaizoku_obj","gPirateLiftPlatformCol","0x19B0","object"
"object_kaizoku_obj","gPirateBarredShutterCol","0x35B0","object"
"object_kaizoku_obj","gPirateGratedShutterCol","0x5EC8","object"
"object_kaizoku_obj","object_kaizoku_obj_Colheader_009A88","0x9A88","object"
"object_kaizoku_obj","object_kaizoku_obj_Colheader_00B868","0xB868","object"
"object_kamejima","gTurtleZoraCapeAsleepCol","0x2328","object"
"object_kamejima","gTurtleZoraCapeAwakeCol","0x2470","object"
"object_kamejima","gTurtleUnusedCol","0x2E04","object"
"object_keikoku_demo","gKeikokuDemoFloorCol","0x1C98","object"
"object_keikoku_obj","object_keikoku_obj_Colheader_002300","0x2300","object"
"object_kepn_koya","object_kepn_koya_Colheader_00805C","0x805C","object"
"object_kibako2","gLargeCrateCol","0xB70","object"
"object_kin2_obj","gOceanSpiderHouseBombableWallCol","0x490","object"
"object_kin2_obj","gOceanSpiderHouseSkullkidPaintingCol","0x798","object"
"object_kin2_obj","gOceanSpiderHouseFireplaceGrateCol","0x908","object"
"object_kin2_obj","gOceanSpiderHouseBookshelfCol","0xF80","object"
"object_kin2_obj","gOceanSpiderHouseChestOfDrawersCol","0x1328","object"
"object_kzsaku","gUnderwaterGrateCol","0x1118","object"
"object_ladder","gWoodenLadder12RungCol","0x1D8","object"
"object_ladder","gWoodenLadder16RungCol","0x408","object"
"object_ladder","gWoodenLadder20RungCol","0x638","object"
"object_ladder","gWoodenLadder24RungCol","0x868","object"
"object_last_obj","object_last_obj_Colheader_000288","0x288","object"
"object_last_obj","object_last_obj_Colheader_001450","0x1450","object"
"object_lbfshot","object_lbfshot_Colheader_0014D8","0x14D8","object"
"object_lightblock","gSunBlockCol","0xB80","object"
"object_lotus","gLilyPadCol","0xA20","object"
"object_mamenoki","object_mamenoki_Colheader_0004BC","0x4BC","object"
"object_mbar_obj","object_mbar_obj_Colheader_0019B4","0x19B4","object"
"object_milkbar","object_milkbar_Colheader_006688","0x6688","object"
"object_mnk","object_mnk_Colheader_0033E8","0x33E8","object"
"object_mtoride","gWoodfallSceneryPoisonWaterDamageCol","0x9E4C","object"
"object_mtoride","gWoodfallSceneryTempleRampAndPlatformCol","0xFE5C","object"
"object_mtoride","gWoodfallSceneryTempleCol","0x10C3C","object"
"object_numa_obj","gWoodenFlowerOpenedFlowerCol","0x9FE0","object"
"object_numa_obj","gWoodenFlowerClosedFlowerCol","0xA740","object"
"object_numa_obj","object_numa_obj_Colheader_012818","0x12818","object"
"object_obj_danpeilift","object_obj_danpeilift_Colheader_000BA0","0xBA0","object"
"object_obj_usiyane","object_obj_usiyane_Colheader_0022AC","0x22AC","object"
"object_obj_yasi","gPalmTreeCol","0x1428","object"
"object_open_obj","object_open_obj_Colheader_001640","0x1640","object"
"object_oyu","gGoronGraveyardHotSpringWaterCol","0x988","object"
"object_posthouse_obj","object_posthouse_obj_Colheader_002948","0x2948","object"
"object_ps","object_ps_Colheader_0072E0","0x72E0","object"
"object_raf","gCarnivorousLilyPadCol","0x108","object"
"object_raillift","object_raillift_Colheader_0048D0","0x48D0","object"
"object_raillift","object_raillift_Colheader_004FF8","0x4FF8","object"
"object_rotlift","gDekuMoonDungeonRotatingPlatformsCol","0x2190","object"
"object_rotlift","gDekuMoonDungeonRotatingSpikesCol","0x4DF0","object"
"object_secom_obj","object_secom_obj_Colheader_0001C0","0x1C0","object"
"object_secom_obj","object_secom_obj_Colheader_002CB8","0x2CB8","object"
"object_sekihig","gSunsSongGraveGoronCol","0x33D8","object"
"object_sekihil","gSunsSongGraveTriforceCol","0x33F8","object"
"object_sekihin","gSunsSongGraveKokiriCol","0x33D8","object"
"object_sekihiz","gSongOfSoaringPedestalCol","0x1010","object"
"object_sichitai_obj","gSichitaiBoatCol","0x16DC","object"
"object_sinkai_kabe","gPinnacleRockPythonDenCol","0x48","object"
"object_spdweb","object_spdweb_Colheader_0011C0","0x11C0","object"
"object_spdweb","object_spdweb_Colheader_002678","0x2678","object"
"object_spidertent","object_spidertent_Colheader_0011AC","0x11AC","object"
"object_spidertent","object_spidertent_Colheader_00238C","0x238C","object"
"object_spinyroll","object_spinyroll_Colheader_000E68","0xE68","object"
"object_spinyroll","object_spinyroll_Colheader_000F80","0xF80","object"
"object_spot11_obj","gGoronDoorCol","0x11C0","object"
"object_spot11_obj","gWoodStepCol","0x1EB8","object"
"object_taru","object_taru_Colheader_000FC8","0xFC8","object"
"object_taru","object_taru_Colheader_001CB0","0x1CB0","object"
"object_tokei_step","gClocktowerPanelCol","0x968","object"
"object_tokei_tobira","object_tokei_tobira_Colheader_0012B0","0x12B0","object"
"object_tokei_tobira","object_tokei_tobira_Colheader_001590","0x1590","object"
"object_tokei_turret","gClockTownTurretBaseCol","0x26A0","object"
"object_tokei_turret","gClockTownTurretPlatformCol","0x2D80","object"
"object_tree","gTreeTopCol","0x1B2C","object"
"object_twig","object_twig_Colheader_0016C0","0x16C0","object"
"object_twig","object_twig_Colheader_0020A0","0x20A0","object"
"object_um","object_um_Colheader_007E20","0x7E20","object"
"object_um","object_um_Colheader_007F50","0x7F50","object"
"object_umajump","object_umajump_Colheader_001438","0x1438","object"
"object_umajump","object_umajump_Colheader_001558","0x1558","object"
"object_visiblock","gLensOfTruthPlatformCol","0xAD0","object"
"object_warp1","gWarpBossWarpPlatformCol","0x8BD4","object"
"object_wiz","gWizrobePlatformCol","0x1690","object"
"object_wood02","object_wood02_Colheader_007A70","0x7A70","object"
"object_zg","gTowerCollapseBarsCol","0x11D4","object"
"object_zog","gMikauGraveCol","0x8670","object"
"ovl_Boss_05","sBioBabaLilypadCol ","0x3620 ","overlay"
"ovl_Dm_Char08","sTurtleGreatBayTempleCol ","0x2640 ","overlay"
"ovl_En_Horse_Game_Check","ovl_En_Horse_Game_Check_Colheader_0010C8 ","0x10C8 ","overlay"
